title,price,location,date,model,storage,price_num,normalized_link
iPhone 13 Pro Max 128G 金色💛 台灣公司貨 二手 原廠保固 13pro max 128 金,"NT$7,500","Kaohsiung, Taiwan",2025-07-03,iPhone 13 Pro Max,128,7500.0,https://www.facebook.com/marketplace/item/4093317604240993/
🧨iPhone 13 Pro max 128g 天風藍電池 100%,"NT$4,500","Kaohsiung, Taiwan",2025-07-03,iPhone 13 Pro Max,128,4500.0,https://www.facebook.com/marketplace/item/723821910389131/
女生自用手機 可面交 換新手機了 低價出售iPhone 13 Pro max 128G 急！！！...,"NT$3,500","Taipei, Taiwan",2025-07-03,iPhone 13 Pro Max,128,3500.0,https://www.facebook.com/marketplace/item/577377915226619/
iPhone 13 Pro Max 128G 綠色💚 台灣公司貨 apple care保固 13pro max 256 綠,"NT$6,000","Taoyuan District, Taoyuan",2025-07-03,iPhone 13 Pro Max,128,6000.0,https://www.facebook.com/marketplace/item/1392552638492547/
iPhone 13 Pro Max 128G 金色💛 台灣公司貨 二手 原廠保固 13pro max 128 金,"NT$6,000","Taoyuan District, Taoyuan",2025-07-03,iPhone 13 Pro Max,128,6000.0,https://www.facebook.com/marketplace/item/732969386019883/
iphone13pro max 128g 藍色 機美無傷 功能正常,"NT$5,000","Taichung, Taiwan",2025-07-03,iPhone 13 Pro Max,128,5000.0,https://www.facebook.com/marketplace/item/1392974618585178/
急急急 出售二手iPhone 13 Pro Max 128G ！！！.,"NT$3,500",New Taipei City,2025-07-03,iPhone 13 Pro Max,128,3500.0,https://www.facebook.com/marketplace/item/1153700130130318/
Iphone 13 pro max 256G 藍,"NT$160,000",New Taipei City,2025-07-03,iPhone 13 Pro Max,256,160000.0,https://www.facebook.com/marketplace/item/9341281485974625/
iphone13mini粉256g.,"NT$1,200","Taipei, Taiwan",2025-06-25,iPhone 13 mini,256,1200.0,https://www.facebook.com/marketplace/item/709417144810498/
iPhone 14 128GB 白,"$17,000","Taoyuan District, Taoyuan",2025-06-27,iPhone 14,128,17000.0,https://www.facebook.com/marketplace/item/1267383051746283/
Iphone 14 128g 紫 二手自用美女手機 電池🔋100,"NT$1,300","Taichung, Taiwan",2025-07-03,iPhone 14,128,1300.0,https://www.facebook.com/marketplace/item/748083561013099/
14 128,"NT$7,000",New Taipei City,2025-06-26,iPhone 14,128,7000.0,https://www.facebook.com/marketplace/item/985996240014233/
iPhone 14 128g 黃色 💛 拆封新機 台灣公司貨 14 128 黃,"NT$7,800","Taipei, Taiwan",2025-06-26,iPhone 14,128,7800.0,https://www.facebook.com/marketplace/item/1758431625057365/
超便宜❗️iPhone 14 128G,"NT$8,500","Taoyuan District, Taoyuan",2025-06-26,iPhone 14,128,8500.0,https://www.facebook.com/marketplace/item/1709634649659410/
iPhone 14 128g,"NT$1,300","Taoyuan District, Taoyuan",2025-06-26,iPhone 14,128,1300.0,https://www.facebook.com/marketplace/item/1061138679284413/
iphone14 128 g,"NT$8,500","Taichung, Taiwan",2025-06-26,iPhone 14,128,8500.0,https://www.facebook.com/marketplace/item/1670291240317031/
Iphone 14 128g 電池83 台南 看說明 5g手機,"NT$8,300","Tainan, Taiwan",2025-06-26,iPhone 14,128,8300.0,https://www.facebook.com/marketplace/item/1018514503775356/
台中iPhone14 256G藍 6.1吋。，.,"NT$8,500","Taoyuan District, Taoyuan",2025-06-25,iPhone 14,256,8500.0,https://www.facebook.com/marketplace/item/698410742778469/
Apple iPhone 14 256g 二手機 中古機 無傷,"NT$7,800","Taoyuan District, Taoyuan",2025-07-03,iPhone 14,256,7800.0,https://www.facebook.com/marketplace/item/1265304371669464/
iPhone 14 256G 黑色.,"NT$4,000",New Taipei City,2025-06-26,iPhone 14,256,4000.0,https://www.facebook.com/marketplace/item/2389743574720546/
Apple iPhone 14 256g 二手機 中古機 無傷,"NT$8,900","Keelung, Taiwan",2025-06-26,iPhone 14,256,8900.0,https://www.facebook.com/marketplace/item/1145758270916845/
🌟IPhone 14 Plus-128G 🔋84%福利機出清🫶,"NT$8,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 14 Plus,128,8500.0,https://www.facebook.com/marketplace/item/998931398770126/
iPhone 14 Plus 128G 🔋100% 紫色,"NT$1,300","Tainan, Taiwan",2025-07-03,iPhone 14 Plus,128,1300.0,https://www.facebook.com/marketplace/item/1091360756202639/
iPhone 14Plus 128G 白色✨電池84%（換過副廠螢幕/無臉部）🔋,"NT$8,500","Taoyuan District, Taoyuan",2025-06-26,iPhone 14 Plus,128,8500.0,https://www.facebook.com/marketplace/item/1421558778882801/
iPhone 14 Plus 白色 256G 電池97% 外觀完美,"NT$1,300","Taipei, Taiwan",2025-06-27,iPhone 14 Plus,256,1300.0,https://www.facebook.com/marketplace/item/2447331055615942/
售 iPhone 14 plus 256g 白色 9成新 外觀無損，無維修紀錄 正常使用,"NT$8,500","Taichung, Taiwan",2025-06-27,iPhone 14 Plus,256,8500.0,https://www.facebook.com/marketplace/item/666477859509733/
iPhone14Plus256G 藍色 雙北可面交,"$14,000","Taipei, Taiwan",2025-06-26,iPhone 14 Plus,256,14000.0,https://www.facebook.com/marketplace/item/1214691959853381/
外觀 99%新 iPhone 14 Plus 256G 電池健康度100%，另有612G,"NT$18,500","Taipei, Taiwan",2025-06-26,iPhone 14 Plus,256,18500.0,https://www.facebook.com/marketplace/item/592458767175222/
【二手】誠可議❤️功能正常❤️❤️❤️桃園、台北，台中可以面交❤️❤️❤️❤️128g九成九新iPhone 14 pro 石墨黑 太空黑 黑色 現貨電池78%❤️❤️❤️❤️,"$18,500",New Taipei City,2025-06-25,iPhone 14 Pro,128,18500.0,https://www.facebook.com/marketplace/item/957280976173156/
iPhone 14 Pro 128G,"NT$4,000","Taipei, Taiwan",2025-07-03,iPhone 14 Pro,128,4000.0,https://www.facebook.com/marketplace/item/648199647627104/
Iphone 14 Pro 128GB (1),"NT$4,000","Yünlin, Taiwan",2025-06-27,iPhone 14 Pro,128,4000.0,https://www.facebook.com/marketplace/item/1247324897091977/
iPhone 14 Pro 金色 128G...,"NT$4,000","Taipei, Taiwan",2025-06-27,iPhone 14 Pro,128,4000.0,https://www.facebook.com/marketplace/item/1336505670838202/
iPhone 14 pro 128gb 🔋100 14pro 128gb.可以見面,"NT$3,500","Taichung, Taiwan",2025-06-27,iPhone 14 Pro,128,3500.0,https://www.facebook.com/marketplace/item/4053331944952013/
高雄可面交👌完美無傷 iPhone 14 pro/14 pro max 128/256G,Free,"Kaohsiung, Taiwan",2025-07-03,iPhone 14 Pro,128,0.0,https://www.facebook.com/marketplace/item/1703778547242155/
iPhone 14 pro 128G 美版 底價售！！！,"NT$4,500","Taichung, Taiwan",2025-07-03,iPhone 14 Pro,128,4500.0,https://www.facebook.com/marketplace/item/670321029368755/
便宜出售 Apple iPhone 14 Pro 128G 黑色,"NT$4,000","Taoyuan District, Taoyuan",2025-07-03,iPhone 14 Pro,128,4000.0,https://www.facebook.com/marketplace/item/664950366577918/
14 pro 128,"NT$19,000","Taipei, Taiwan",2025-06-26,iPhone 14 Pro,128,19000.0,https://www.facebook.com/marketplace/item/1327666405547802/
Iphone14 pro 128 電池100 保固到明年326 無傷 (1),"NT$4,000","Taipei, Taiwan",2025-06-26,iPhone 14 Pro,128,4000.0,https://www.facebook.com/marketplace/item/1761050647823436/
iPhone 14pro 128GB黑/金台中北區實體店面交 二手可折抵,"NT$18,500","Taichung, Taiwan",2025-06-26,iPhone 14 Pro,128,18500.0,https://www.facebook.com/marketplace/item/1119671253522017/
【出售二手】iPhone 14Pro 512G 紫色 電池健康度100%,"NT$16,900","Tainan, Taiwan",2025-06-25,iPhone 14 Pro,512,16900.0,https://www.facebook.com/marketplace/item/2793765310813309/
IPhone 14 Pro 512G金色,"NT$21,900","Taoyuan District, Taoyuan",2025-07-03,iPhone 14 Pro,512,21900.0,https://www.facebook.com/marketplace/item/730122276622363/
Apple iPhone 14 Pro Max - 512 GB - Unlocked Good Condition,Free,"Taipei, Taiwan",2025-06-25,iPhone 14 Pro Max,512,0.0,https://www.facebook.com/marketplace/item/9748550728605627/
售iPhone 15 128g 綠色,"NT$11,000",Puzi City,2025-06-25,iPhone 15,128,11000.0,https://www.facebook.com/marketplace/item/1430134878144253/
IPhone 15 128台中面交,"NT$114,700","Taichung, Taiwan",2025-06-25,iPhone 15,128,114700.0,https://www.facebook.com/marketplace/item/2666888036976432/
IPHONE 15 128,"NT$12,500",New Taipei City,2025-07-03,iPhone 15,128,12500.0,https://www.facebook.com/marketplace/item/9911348548960662/
iPhone 15 128,"NT$20,000","Taoyuan District, Taoyuan",2025-06-27,iPhone 15,128,20000.0,https://www.facebook.com/marketplace/item/3419502421512997/
