title,price,location,date,model,storage,price_num,normalized_link
Iphone 15 128g,"NT$16,000","Taipei, Taiwan",2025-06-26,iPhone 15,128,16000.0,https://www.facebook.com/marketplace/item/1215464859983904/
Iphone 16pro max 512 金 原,"NT$40,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,512,40500.0,https://www.facebook.com/marketplace/item/1266242938478112/
iPhone 16 128 藍色,"NT$22,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/588939453898886/
iPhone 16 Pro Max 256 白色,"NT$37,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,37000.0,https://www.facebook.com/marketplace/item/2182736752147855/
iPhone 16 Plus 256 藍色,"NT$28,500","Taipei, Taiwan",2025-06-26,iPhone 16 Plus,256,28500.0,https://www.facebook.com/marketplace/item/1247026390465522/
iPhone 16 128G 100% 保2026/5/11,"NT$22,500",New Taipei City,2025-06-26,iPhone 16,128,22500.0,https://www.facebook.com/marketplace/item/686935734181751/
iPhone 16 Pro 256,"NT$31,500",New Taipei City,2025-06-26,iPhone 16 Pro,256,31500.0,https://www.facebook.com/marketplace/item/1431863791279630/
"🔥 iPhone 14 Pro 256GB 僅售 $18,000！電池全新100%！","NT$18,000",New Taipei City,2025-06-26,iPhone 14 Pro,256,18000.0,https://www.facebook.com/marketplace/item/978285550904519/
iPhone 16 pro max 512g 大容量,"NT$40,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,512,40000.0,https://www.facebook.com/marketplace/item/736340732280420/
iPhone 16 128 藍 🔋100保固2025/11/6,"NT$22,000",New Taipei City,2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/996696262349572/
iPhone 16 128 粉 🔋100保固2025/9/24,"NT$22,000",New Taipei City,2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1931274817643205/
iPhone 16 pro max 256 黑 🔋100保固2026/6/5,"NT$36,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1619332698757489/
