excluded_reason,title,price,location,date,model,storage,price_num,normalized_link
Duplicate link,二手 iPhone 15 Pro 128GB藍色,"$20,900","Taipei, Taiwan",2025-06-27,iPhone 15 Pro,128,20900.0,https://www.facebook.com/marketplace/item/1477141063648387/
Duplicate link,IPhone 14Promax-128G,"NT$1,300",New Taipei City,2025-06-27,iPhone 14 Pro Max,128,1300.0,https://www.facebook.com/marketplace/item/625508100125286/
Duplicate link,徵 iPhone 16 Pro max 256 G 一支 我要買,"NT$30,000","Taipei, Taiwan",2025-06-27,iPhone 16 Pro Max,256,30000.0,https://www.facebook.com/marketplace/item/741155175120405/
Duplicate link,iPhone 16 128GB 綠 原廠保固,"NT$24,000",New Taipei City,2025-06-27,iPhone 16,128,24000.0,https://www.facebook.com/marketplace/item/3264028850429981/
Duplicate link,iPhone 16 pro ZIFRIEND零失敗手機膜,NT$500,"Taipei, Taiwan",2025-06-27,iPhone 16 Pro,Unknown,500.0,https://www.facebook.com/marketplace/item/1779614359573660/
Duplicate link,金色 Apple iPhone 16 Pro Max 256G 台灣保固2025.10.18 原廠盒裝,"NT$18,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,18000.0,https://www.facebook.com/marketplace/item/2989154261257830/
Duplicate link,iPhone 16 128 粉 🔋100保固2025/9/24,"NT$22,000",New Taipei City,2025-06-27,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1931274817643205/
Duplicate link,iPhone 16 Pro Max 256 保固到2026/3/13,"NT$36,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1875415226580734/
Duplicate link,黑色現貨 台灣公司貨 Apple iPhone 16e 256G 6.1吋 高雄店面可自取,"NT$22,390","Kaohsiung, Taiwan",2025-06-27,iPhone 16E,256,22390.0,https://www.facebook.com/marketplace/item/1488731629151007/
Duplicate link,iPhone 16e 128G 黑 健康度100% S級福利品 原廠保固內 實機拍攝 #41430,"NT$17,500",New Taipei City,2025-06-27,iPhone 16E,128,17500.0,https://www.facebook.com/marketplace/item/712462951280159/
Duplicate link,Iphone13 128 黑,"NT$9,000",New Taipei City,2025-06-27,iPhone 13,128,9000.0,https://www.facebook.com/marketplace/item/1361877888255060/
Duplicate link,Iphone16e 128g 黑 全新未拆 電信續約機,"NT$18,800","Taipei, Taiwan",2025-06-27,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/743298051381896/
Duplicate link,iPhone 16 Plus 256 保固到2026/4/17,"NT$28,500",New Taipei City,2025-06-27,iPhone 16 Plus,256,28500.0,https://www.facebook.com/marketplace/item/1125427009361238/
Duplicate link,二手IPhone 15 pro 256G 原鈦色,"NT$20,000","Taipei, Taiwan",2025-06-27,iPhone 15 Pro,256,20000.0,https://www.facebook.com/marketplace/item/1550253255659495/
Duplicate link,收 iPhone 16e,"NT$9,999","Taipei, Taiwan",2025-06-27,iPhone 16E,Unknown,9999.0,https://www.facebook.com/marketplace/item/656716796850828/
Duplicate link,iPhone 16 128 藍 🔋100保固2025/11/6,"NT$22,000",New Taipei City,2025-06-27,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/996696262349572/
Duplicate link,iPhone 16pro 256 美版極新,"NT$28,000","Taoyuan District, Taoyuan",2025-06-27,iPhone 16 Pro,256,28000.0,https://www.facebook.com/marketplace/item/9622932054494542/
Duplicate link,iPhone 12 Pro,"$6,000",New Taipei City,2025-06-27,iPhone 12 Pro,Unknown,6000.0,https://www.facebook.com/marketplace/item/1513387616166835/
Duplicate link,"Iphone16pro 256G 保固2026/05 ,15pro 128G保固2025/09","$31,500","Taipei, Taiwan",2025-06-27,iPhone 16 Pro,256,31500.0,https://www.facebook.com/marketplace/item/2191065788008971/
Duplicate link,IPHONE 16 pro max 256 原色鈦金屬,"NT$19,800",Changhua,2025-06-27,iPhone 16 Pro Max,256,19800.0,https://www.facebook.com/marketplace/item/9209403599159093/
Duplicate link,iPhone 14pro max 256g 附盒裝,"NT$4,000","Taipei, Taiwan",2025-06-27,iPhone 14 Pro Max,256,4000.0,https://www.facebook.com/marketplace/item/2115254272283674/
Duplicate link,iPhone 14 Pro 256g,"$12,000","Taichung, Taiwan",2025-06-27,iPhone 14 Pro,256,12000.0,https://www.facebook.com/marketplace/item/1224600029325684/
